Name,Role,Avatar,Bio,IsSpotlight
Ken Lazzara,Celeros Flow Technology,https://images.unsplash.com/photo-1507003211169-0a1dd7228f2d?q=80&w=200&auto=format&fit=crop,Global Sales Director - Copes Vulcan,TRUE
Fabiana,Celeros Flow Technology,https://images.unsplash.com/photo-1544005313-94ddf0286df2?q=80&w=200&auto=format&fit=crop,Marketing Lead,FALSE
Tommy Kasim,Celeros Flow Technology,https://images.unsplash.com/photo-1560250097-0b93528c311a?q=80&w=200&auto=format&fit=crop,Chief Commercial Officer,FALSE
Jose Larios,Celeros Flow Technology,https://images.unsplash.com/photo-1573496359142-b8d87734a5a2?q=80&w=200&auto=format&fit=crop,President & CEO,FALSE
Ken Lazzara,Celeros Flow Technology,https://images.unsplash.com/photo-1507003211169-0a1dd7228f2d?q=80&w=200&auto=format&fit=crop,Global Sales Director - Copes Vulcan,FALSE
Pedro Flores,Celeros Flow Technology,https://images.unsplash.com/photo-1580489944761-15a19d654956?q=80&w=200&auto=format&fit=crop,Product Manager - Copes Vulcan,FALSE
Federico Medina,Celeros Flow Technology,https://images.unsplash.com/photo-1438761681033-6461ffad8d80?q=80&w=200&auto=format&fit=crop,Site Manager Wstplain,TRUE
Jeff Lyon,Celeros Flow Technology,https://images.unsplash.com/photo-1472099645785-5658abf4ff4e?q=80&w=200&auto=format&fit=crop,???,TRUE
Yulong Su,Celeros Flow Technology,https://images.unsplash.com/photo-1552058544-f2b08422138a?q=80&w=200&auto=format&fit=crop,Supply chain enhancement lead.,TRUE
Raul Almazan,Celeros Flow Technology,https://images.unsplash.com/photo-1500648767791-00dcc994a43e?q=80&w=200&auto=format&fit=crop,Director of Engineering,TRUE
Ann Brown,Celeros Flow Technology,https://images.unsplash.com/photo-1534528741775-53994a69daeb?q=80&w=200&auto=format&fit=crop,Legal Compliance Manager,FALSE
Sergio Moscon,Celeros Flow Technology,https://images.unsplash.com/photo-1519085360753-af0119f7cbe7?q=80&w=200&auto=format&fit=crop,Manager - Commercial Operations,TRUE
David Young,Celeros Flow Technology,https://images.unsplash.com/photo-1494790108377-be9c29b29330?q=80&w=200&auto=format&fit=crop,Aftermarket Service Development Director,TRUE
Mark Wheat,Celeros Flow Technology,https://images.unsplash.com/photo-1519085360753-af0119f7cbe7?q=80&w=200&auto=format&fit=crop,Technical Sales Director,FALSE
David Kinvig,Celeros Flow Technology,https://images.unsplash.com/photo-1519085360753-af0119f7cbe7?q=80&w=200&auto=format&fit=crop,Sales Manager - Europe and Africa,TRUE
Kevn Taygart,Celeros Flow Technology,https://images.unsplash.com/photo-1519085360753-af0119f7cbe7?q=80&w=200&auto=format&fit=crop,Engineer,TRUE
Eric Neilsen,Celeros Flow Technology,https://images.unsplash.com/photo-1519085360753-af0119f7cbe7?q=80&w=200&auto=format&fit=crop,Aftermarket Service Commercial Manager,TRUE