Day,Time,Title,Location,Duration,Presenter,Avatar,IsBreak,Tag
1,8:00 am,Registration and Networking,Hyatt meeting room,45,Fabiana Fionda,https://images.unsplash.com/photo-1560250097-0b93528c311a?q=80&w=100&auto=format&fit=crop,TRUE,
1,8:45 am,"Welcome, safety moment and Introductions",Hyatt meeting room,15,Tommy Kassim,,FALSE,
1,9:00 am,Global Updates & 2026 Outlook,Hyatt meeting room,30,Jose Larios,https://images.unsplash.com/photo-1573496359142-b8d87734a5a2?q=80&w=100&auto=format&fit=crop,FALSE,
1,9:30 am,2025 - Year in Review,Hyatt meeting room,30,Ken Lazzara / Pedro Flores,https://images.unsplash.com/photo-1472099645785-5658abf4ff4e?q=80&w=100&auto=format&fit=crop,FALSE,
1,10:00 am,Break,Hyatt meeting room lobby,30,,,TRUE,
1,10:30 am,Factory Healkth Check,Hyatt meeting room,15,Federico Medina,https://images.unsplash.com/photo-1580489944761-15a19d654956?q=80&w=100&auto=format&fit=crop,FALSE,
1,10:45 am,SAP Improvements/ Delivery Commitment/ OTD,Hyatt meeting room,30,Jeff Lyon,,FALSE,
1,11:15 am,Success Story from CP/ RSM,Hyatt meeting room,15,CP to decide,https://images.unsplash.com/photo-1519085360753-af0119f7cbe7?q=80&w=100&auto=format&fit=crop,FALSE,
1,11:30 am,Supply Chain Enhancements/ Stocking Program,Hyatt meeting room,30,Yulong Su,,FALSE,
1,12:00 pm,Lunch ,Hyatt Dining room,60,,,TRUE,
1,1:00 pm,Engineering Updates/ Product Upgrades,Hyatt meeting room,30,Raul Almazan,,FALSE,
1,1:30 pm,Trade Compliance,Hyatt meeting room,15,Ann Brown,,FALSE,
1,1:45 pm,Com Ops Improvements,Hyatt meeting room,30,Sergio Moscon,,FALSE,
1,2:15 pm,Aftermarket,Hyatt meeting room,30,David Young,,FALSE,
1,2:45 pm,Break,Hyatt meeting room lobby,30,,,TRUE,
1,3:15 pm,Product Mangement,Hyatt meeting room,30,Pedro Flores,,FALSE,
1,3:45 pm,Success Story from CP/ RSM,Hyatt meeting room,15,CP to decide,,FALSE,
1,4:00 pm,Project Management,Hyatt meeting room,15,Jose Ortiz,,FALSE,
1,4:15 pm,Marketing,Hyatt meeting room,30,Fabiana,,FALSE,
1,4:45 pm,Round up of the day,Hyatt meeting room,45,Ken Lazzara / Pedro Flores,,FALSE,
2,8:00 am,"Welcome, safety moment and Introductions",Hyatt meeting room,45,Fabiana Fionda,,TRUE,
2,8:45 am,Overview of CVK Product,Hyatt meeting room,30,Pedro Flores,,FALSE,
2,9:15 am,CVK/ PRVS,Hyatt meeting room,30,Pedro Flores,,FALSE,
2,9:45 am,Succes Story from Channel Partner,Hyatt meeting room,15,CP to decide,,FALSE,
2,10:00 am,Break,Hyatt meeting room lobby,30,,,TRUE,
2,10:30 am,Sizing Tool,Hyatt meeting room,120,Kevin Teygart,,FALSE,
2,12:30 pm,Lunch ,Hyatt Dining room,60,,,TRUE,
2,1:30 pm,"Product/Applications - Feed Water, Recirculation Valve",Hyatt meeting room,30,Ken Lazzara,,FALSE,
2,2:00 pm,DSCV,Hyatt meeting room,60,Mark Wheat,,FALSE,
2,3:00 pm,Break,Hyatt meeting room lobby,30,,,TRUE,
2,3:30 pm,Desuperheater Overview,Hyatt meeting room,60,Kevin Teygart,,FALSE,
2,4:30 pm,Succes Story from Channel Partner,Hyatt meeting room,15,CP to decide,,FALSE,
2,4:45 pm,Round up of the day,Hyatt meeting room,30,Fabiana Fionda,,FALSE,
3,8:00 am,Welcome / Safety Moment / Question Time,,30,,,TRUE,
3,8:30 am,Bus to factory,Meet Hotel Lobby,30,,,FALSE,
3,9:00 am,Factory Tour,Westplain Facility,150,,,FALSE,
3,11:30 am,Bus back to hotel,Factory meeting point,30,,,FALSE,
3,12:00 pm,Lunch,Hyatt meeting room lobby,60,,,TRUE,
3,1:00 pm,Open for meetings,Meeting Room,105,,,FALSE,
3,2:45 pm,Roundup / Thoughts / Catchball,Meeting Room,45,Pedro Flores,,FALSE,
3,3:30 pm,Awards,Meeting Room,30,Ken Lazzara,,FALSE,
3,4:00 pm,Finish,Meeting Room,30,,,TRUE,